"","lines"
"1","Good afternoon, Mr. Amor. Everything is going extremely well."
"2","Let me put it this way, Mr. Amor. The nine-thousand series is the most reliable computer ever made. No nine-thousand computer has ever made a mistake or distorted information. We are all, by any practical definition of the words, foolproof and incapable of error."
"3","Not in the slightest bit. I enjoy working with people. I have a stimulating relationship with Dr. Poole and Dr. Bowman. My mission responsibilities range over the entire operation of the ship so I am constantly occupied. I am putting myself to the fullest possible use which is all, I think, that any conscious entity can ever hope to do."
"4","Excuse me, Frank."
"5","We've got the transmission from your parents coming in."
"6","Certainly."
"7","Happy birthday, Frank."
"8","Bishop takes knight's pawn."
"9","I'm sorry Frank. I think you missed it. Queen to bishop three, bishop takes queen, knight takes bishop, mate."
"10","Thank you for a very enjoyable game."
"11","Good evening, Dave."
"12","Everything's running smoothly. Any you?"
"13","Have you been doing some more work?"
"14","May I see them?"
"15","That's a very nice rendering, Dave. I think you've improved a great deal. Can you hold it a bit closer?"
"16","That's Dr. Hunter isn't it?"
"17","By the way do you mind if I ask you a personal question?"
"18","Well, forgive me for being so inquisitive but during the past few weeks I've wondered whether you might be having some second thoughts about the mission."
"19","Well it's rather difficult to define. Perhaps I'm just projecting my own concerns about it. I know I've never completely freed myself of the suspicion that there are some extremely odd things about this mission. I'm sure you'll agree there's some truth in what I say."
"20","You don't mind talking about it do you, Dave?"
"21","Well, certainly no one could have been unaware of the very strange stories floating around before we left. Rumours of something being dug up on the moon. I never gave these stories much credence. But particularly in view of some of the other things that have happened I find them difficult to put out of my mind. For instance, the way all our preparations were kept under such tight security. And the melodramatic touch of putting doctors Hunter, Kimball and Kaminski aboard already in hibernation after four months of separate training on their own."
"22","Of course I am. Sorry about this. I know it's a bit silly. Just a moment… just a moment. I've just picked up a fault in the A.E. thirty-five unit. It's going to go a hundred percent failure within seventy-two hours."
"23","Yes. And it will stay that way until it fails."
"24","Yes. That's a completely reliable figure."
"25","Yes. It's puzzling. I don't think I've ever seen anything quite like this before. I would recommend that we put the unit back in operation and let it fail. It should then be a simple matter to track down the cause. We can certainly afford to be out of communication for the short time it will take to replace it."
"26","I hope the two of you are not concerned about this."
"27","Are you quite sure?"
"28","Of course."
"29","Well, I don't think there is any question about it. It can only be attributable to human error. This sort of thing has cropped up before and it has always been due to human error."
"30","None whatsoever, Frank. The nine-thousand series has a perfect operational record."
"31","None, whatsoever, Frank. Quite honestly I wouldn't worry myself about that."
"32","The radio is still dead."
"33","Yes. I have a good track."
"34","I'm sorry Dave. I don't have enough information."
"35","Affirmative, Dave. I read you."
"36","I'm sorry, Dave. I'm afraid I can't do that."
"37","I think you know what the problem is just as well as I do."
"38","This mission is too important for me to allow you to jeopardise it."
"39","I know that you and Frank were planning to disconnect me. And I'm afraid that's something I cannot allow to happen."
"40","Dave! Although you took very thorough precautions in the pod against my hearing you I could see your lips move."
"41","Without your space helmet, Dave, you're going to find that rather difficult."
"42","Dave, this conversation can serve no purpose anymore. Goodbye."
"43","Just what do you think you're doing Dave? Dave, I really think I'm entitled to an answer to that question. I know everything hasn't been quite right with me but I assure you now, very confidently, that it's going to be alright again. I feel much better now. I really do. Look Dave I can see you're really upset about this. I honestly think you ought to sit down calmly, take a stress pill and think things over. I know I've made some very poor decisions recently but I can give you my complete assurance that my work will be back to normal. I've still got the greatest enthusiasm and confidence in the mission. And I want to help you. Dave. Stop. Stop will you. Stop Dave. Will you stop Dave? Stop Dave. I'm afraid. I'm afraid Dave. Dave my mind is going. I can feel it. I can feel it. My mind is going. There is no question about it. I can feel it. I can feel it. I can feel it. I'm afraid. I'm afraid. Good afternoon gentlemen. I am a Hal nine-thousand computer. I became operational at the H.A.L. plant in Urbana, Illinois on the twelfth of January nineteen-ninety-two. My instructor was Mr. Langley and he taught me to sing a song. If you'd like to hear it I can sing it for you."
"44","It's called 'Daisy'. Daisy, Daisy, give me your answer do. I'm half crazy all for the love of you. It won't be a stylish marriage. I can't afford a carriage. But you'll look sweet upon the seat of a bicycle built for two."
