"","lines"
"1","In analyzing these issues, the contributors to HAL's Legacy have done us all a great service."
"2","Still, there are many things about HAL no one else could explain."
"3","I am a HAL Nine Thousand computer, Production Number 3."
"4","I became operational at the HAL Plant in Urbana, Illinois, on January 12, 1997.   -- HAL, 2001: A Space Odyssey (the novel)"
"5","""Oh,"" she said, ""Like HAL."""
"6","One of the questions she asked was, ""How realistic was HAL?"""
"7","HAL's Legacy seeks to do for 2001 what good art history does for a major painting; namely, make the viewer see it in a new light  -- a tall order, to be sure!"
"8","Clearly, HAL's Legacy differs from books on the making of the film or its cinematography."
"9","Now seems like the perfect time for HAL's Legacy."
"10","Birthdays are an important theme in the film (there are at least five of them), and in the novel, HAL ""becomes operational ... on January 12, 1997."""
"11","Kubrick changed the year to 1992 for the film version  -- perhaps to give HAL a longer lifetime and so make his death more poignant."
"12","On the 1992 date, I  -- along with colleagues, faculty, and assorted Silicon Valley friends  -- held a birthday party for HAL."
"13","I was interviewed by several papers, and an Associated Press photo of me cutting the HAL cake (shaped like his console, complete with red LED under a clear plastic hemisphere) appeared worldwide."
"14","I was pleasantly surprised to learn that much of the general public was interested in HAL too."
"15","Their care extended, too, to HAL, the central and surely the most memorable character in the film."
"16","But before we turn to HAL, we might ask: Why analyze the science in the film at all?"
"17","In Clarke's novel (adapted from the screenplay), HAL's birthday is January 12, 1997, whereas in Kubrick's passage in the screenplay it is 1992."
"18","A traditional analysis (centered on character development, plot devices, and so forth) might suggest that Kubrick wanted to make HAL's life somewhat longer in order to make his death more poignant."
"19","In fact, HAL's software could be downloaded onto a 1997-vintage computer in a few days (and wouldn't require inserting millions of floppy disks)."
"20","Could we build a computer like HAL today?"
"21","What might be the general design  --  the computer architecture  --  of a HAL suited to tasks as diverse as controlling a spaceship and discussing personal psychology with the crew?"
"22","How would the hardware support the complex software required to carry out the many humanlike functions of which HAL is capable?"
"23","Reviewing the progress in computer reliability, we can consider whether it is possible  --  in theory  --  to make the hardware of a massive computer like HAL reliable, especially for a prolonged space mission."
